epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,45182.9,0.74745,0.64143,1.13731,0.7732,0.73023,0.77762,0.52652,1.14305,0.95788,1.4912,0.008119,0.008119,0.008119
59,45782.8,0.74644,0.63497,1.14116,0.78104,0.71436,0.76992,0.52156,1.1723,0.94128,1.51894,0.008086,0.008086,0.008086
60,46360.8,0.73656,0.63533,1.1302,0.78769,0.72977,0.76751,0.51619,1.17394,0.94866,1.53681,0.008053,0.008053,0.008053
61,47037.2,0.74855,0.63539,1.14014,0.80252,0.72819,0.77708,0.52723,1.15475,0.93662,1.52535,0.00802,0.00802,0.00802
62,47711.1,0.73766,0.62021,1.13088,0.79802,0.7335,0.781,0.51378,1.19278,0.96445,1.55234,0.007987,0.007987,0.007987
63,48539.3,0.73288,0.63013,1.13483,0.80391,0.73082,0.77394,0.52957,1.16235,0.93079,1.53999,0.007954,0.007954,0.007954
64,49098.5,0.73502,0.6192,1.13227,0.79427,0.71273,0.76895,0.52026,1.17802,0.95365,1.54271,0.007921,0.007921,0.007921
65,49929.4,0.7429,0.62933,1.13818,0.79507,0.72184,0.76895,0.51639,1.17569,0.96348,1.52064,0.007888,0.007888,0.007888
66,50547.2,0.74192,0.62522,1.13378,0.80377,0.72156,0.77514,0.51649,1.20277,0.99899,1.55005,0.007855,0.007855,0.007855
67,51180.3,0.74089,0.6247,1.1289,0.81227,0.7048,0.77946,0.51937,1.20043,0.99323,1.58288,0.007822,0.007822,0.007822
68,51832.3,0.72559,0.61971,1.12331,0.78584,0.71432,0.76968,0.50964,1.19389,0.99314,1.57805,0.007789,0.007789,0.007789
69,52553.4,0.72761,0.61132,1.12816,0.7949,0.73454,0.77986,0.51702,1.17722,0.96492,1.53477,0.007756,0.007756,0.007756
